text,label
المجلس الوطني الفلسطيني يحمل المجتمع الدولي مسؤولية وقف جرائم الإبادة الجماعية بحق الشعب الفلسطيني,1
الاحتلال الصهيوني يواصل عدوانه على مدينة طولكرم ومخيميها لليوم ال53 على التوالي,0
عشرات الشهداء والجرحى والمفقودين في غارات عنيفة شنها الاحتلال الصهيوني على غزة,2
غزة والضفة الغربية تواجهان كارثة صحية غير مسبوقة في ظل تصاعد العدوان الصهيوني,2
استشهاد أكثر من 43 فلسطينيا وإصابة آخرين في قصف صهيوني على مناطق متفرقة من غزة,2
الصحراء الغربية: الرئيس غالي يشيد بالدور التاريخي للمرأة الصحراوية في مسيرة الكفاح من أجل الحرية والإستقلال,0
الرابطة الأولى: فوز شباب بلوزداد على اتحاد بسكرة (4-2),0
بطولة إفريقيا للمحليين 2025 : المنتخب الوطني يجري ثاني حصة تدريبية له,2
"مونديال 2026: ""الخضر"" يكثفون تحضيراتهم قبل التوجه إلى فرانسيس تاون",2
مونديال 2026/ بوتسوانا-الجزائر: المنتخب الجزائري من أجل البقاء في الصدارة,1
المنافسات الافريقية للاندية2024-2025: الكشف عن تواريخ اجراء مباريات الدور ربع النهائي,2
"كرة القدم/مونديال-2026: ""المنتخب الجزائري يضم عناصر قادرة على إدارة المباريات خارج قواعدها """,1
"الرابطة الأولى ""موبيليس"": مباراة دون جمهور لشباب بلوزداد ومعاقبة مدربه راموفيتش",1
مونديال-2026/بوتسوانا-الجزائر: أول حصة تدريبية للمنتخب الوطني بغابورون,0
كرة القدم داخل القاعة (دورة الصحافة): المنافسة تباشر الأدوار ثمن النهائية بالقاعة البيضوية للمركب الاولمبي,1
بطولة إفريقيا للمحليين 2025: المنتخب الوطني يشرع في تربصه التحضيري بعنابة,2
"حج 2025: برمجة فتح الرحلات عبر ""البوابة الجزائرية للحج"" وتطبيق ""ركب الحجيج""",0
حوادث المرور بالمناطق الحضرية: وفاة 13 شخصا وإصابة 456 آخرين خلال أسبوع,2
الدروس المحمدية: إبراز أثر التزكية في تربية الوجدان وبناء الانسان,2
الدروس المحمدية بوهران: ابراز الدور الاصلاحي والتربوي للشيخ سيدي محمد بلكبير,0
إفطار جماعي لفائدة فئة الأحداث بالمؤسسة العقابية بالقليعة,1
مولوجي تشارك في جلسة نقاش حول قانون حماية الأشخاص ذوي الهمم وترقيتهم,0
جامع الجزائر يحضر لاتفاقية شراكة مع جامعة الزيتونة بتونس,2
"قسنطينة: العمل التضامني في رمضان, هبة جديدة لصالح المعوزين",2
رمضان: المبادرات التطوعية تعكس روح التضامن والتآزر لدى الشباب,1
حج 2025 : اجتماع تنسيقي لمتابعة عملية تسيير رحلات الحج,2
"عرض الفيلم الوثائقي ""سجناء جزيرة سانت-مرغاريت الجزائريين"" بالجزائر العاصمة",0
نحو إدراج التراث الأثري لمدينة تبسة ضمن القائمة الإرشادية للتراث العالمي بالجزائر,1
"الجمعية الثقافية السينمائية ""أضواء"" تحيي الذكرى ال63 لعيد النصر",1
الذكرى ال63 لعيد النصر: تنظيم ندوة فكرية حول تجليات عيد النصر في المخيال الأدبي والفني الجزائري,1
"وهران : مسرحية ""باغي نشيع"" لمحمد ميهوبي تسلط الضوء على ظاهرة السعي وراء الشهرة عبر الانترنت",1
بجاية: نشاط ثقافي غير مسبوق منذ بداية رمضان,0
الطبعة ال14 للمهرجان الثقافي الوطني لأغنية الشعبي تنطلق يوم الخميس المقبل بالجزائر العاصمة,2
تلمسان: انطلاق الطبعة الثامنة لليالي الخط والمخطوط,0
المهرجان المحلي للإنشاد بقالمة: رفع الستار عن الطبعة التاسعة,1
"مسرح الطفل: تقديم العرض الشرفي بأدرار لمسرحية ""مملكة الهوايات""",2
الدولة عازمة على تحقيق نقلة نوعية في تسيير قطاع البيئة,1
وزير الداخلية يشرف على إعطاء إشارة انطلاق أشغال إعادة تهيئة أزقة المدينة العتيقة بقسنطينة,0
الجزائر العاصمة: غرس 235 ألف شجرة خلال موسم 2024-2025,0
اليوم الدولي للغابات: تنظيم حملات للتشجير والتحسيس حول الحفاظ على الثروة الغابية بغرب الوطن,1
رياح قوية متوقعة على عدد من ولايات الوطن يومي الخميس والجمعة,1
هزة أرضية بدرجة 0 ر4 درجات بولاية المدية,2
مراد في زيارة عمل إلى ولاية قسنطينة,2
حشيشي يؤكد على ضرورة الالتزام بآجال المشروع الجديد لضغط الغاز بغرد النص,2
حادث المرور المميت بفرندة: إدانة سائق الشاحنة بـ 5 سنوات حبسا نافذا,0
هزة أرضية بشدة 2ر3 درجات بولاية المدية,0
فرنسا ترفض تسليم عبد السلام بوشوارب.. هكذا ردّت الجزائر,0
نسبة جاهزية موزعات البريد الآلية بلغت 96 بالمائة عبر الوطن,1
الجوية الجزائرية توقع مذكرة تفاهم إستراتيجية مع “جازي” للإتصالات,1
برمجة فتح الرحلات عبر “البوابة الجزائرية للحج” وتطبيق “ركب الحجيج”,0
وكالة عدل تُفنّد الأخبار المتداولة عبر مواقع التواصل الإجتماعي,0
مولودية الجزائر تفوز بسداسية في ثاني ودية لها أمام شبيبة الشراقة,1
المسيلة: إحباط ترويج أكثر من 12 ألف “محيرقة” ببوسعادة,0
البليدة: توقيف شاب نشر محتوى تحريضي عبر “الفايسبوك”,1
بداري: إنشاء 50 مؤسسة مصغرة للمساهمة في الاقتصاد الوطني,1
الرئيس تبون يهنئ قيس سعيد بمناسبة الذكرى الـ60 لعيد إستقلال تونس,2
"Le Centre de l’Union Africaine pour la Lutte contre le Terrorisme (AUCTC/CUACT), avec le soutien du CICR (Comité International de la Croix-Rouge)",0
Le Centre africain d’étude et de recherche sur le terrorisme (ACSRT) et le Comité international de la Croix-Rouge (CICR),1
"The Horn of Africa is currently facing with multidimensional challenges with critical impacts on the political, military, economic and social domains. Intra- and inter-state conflicts, terrorism, economic decline, food insecurity and migration are among the most significant challenges affecting the region.",0
"Le Département des affaires politiques, de la paix et de la sécurité de la Commission de l’Union africaine à travers la Division de la médiation et du dialogue.",0
Le Centre africain d’étude et de recherche sur le terrorisme (ACSRT) et l’ambassade d’Allemagne ont tenu une table ronde commune sur la menace du terrorisme et de l’extrémisme violent.,2
"TERRORISMINAFRICA: African Terrorism Bulletin, a bi-weekly compilation and analysis of terrorism incidents in Africa reveals 476 terrorism deaths from 75 terrorist attacks for the second half of June 2019.",0
"The Romanian Ambassador to Algeria, H.E. Mr. Gruia Jacota, together with participants of the International Training Course on “Post-Conflict Stabilization and Reconstruction Support for the Sahel",2
"The African Centre for the Study and Research on Terrorism – ACSRT in partnership with two other African Union institutions namely; the Mediation and Dialogue Division (MDD) within the Political Affairs, Peace and Security Department (PAPS) and African Union Mission for Mali and the Sahel (MISAHEL) with the support of Cabinet ESEN organised a Roundtable discussion on Alternative Approaches of Countering Terrorism and Preventing Violent Extremism in the Sahel and West Africa.",1
"Today, The African Centre for the Study and Research on Terrorism – ACSRT welcomed a visit from Ms Mariana Llorens Zabala , a researcher at the Norwegian Institute of International Affairs (NUPI) in Oslo, Norway.",1
The African Union (AU) Commission on Tuesday expressed deep concern over sustained financing of terrorist activities in Africa,1
حضرموت.. البرنامج السعودي لإعمار اليمن يعيد تأهيل منفذ الوديعة,2
أمين الأمم المتحدة: إقامة دولة فلسطينية السبيل الوحيد للسلام,1
خططوا لنقل متفجرات.. اعتقال 3 إرهابيين في الصومال,2
مكة المكرمة.. اعتماد 167 مسجداً إضافياً لإقامة صلاتي الجمعة والعيد,1
"الرئيس التنفيذي لـ ""جودة الحياة"": نعمل على جعل مكة نموذجًا عالميًا",0
مسؤولة أوروبية تدعو لدعم الجيش الأوكراني بـ 5 مليارات يورو,2
"الرياض.. ""بازار ريف"" يواصل عروضه التراثية في أجواء رمضانية",2
منظمة الصحة العالمية تدعو لتمويل الاستجابة لمكافحة السل,0
معلمون وأطباء وممرضون.. ارتفاع الضحايا الأمميين في غزة إلى 284,0
طقس المملكة.. أمطار متباينة الشدة وزخات من البرد على الباحة,0
التهجد بالحرم المكي تبدأ 12:30 منتصف الليل.. وختم القرآن ليلة 29,1
مستشفيات وعيادات دلّه تعلن عن مواعيد العمل خلال أيام عيد الفطر المبارك.. والطوارئ والصيدليات على مدار الساعة,0
مجموعة مايديا وشاكر تعززان شراكتهما الاستراتيجية وتطلقان حملة 'لحظات مايديا' في السعودية,0
"دخول 6 تخصصات جديدة بجامعة القصيم في تصنيف ""QS"" الدولي",2
بعد اجتماع المملكة.. القمة الأوروبية ترحب بجهود السلام في أوكرانيا,1
المدينة المنورة.. بدء استقبال جموع المعتكفين في المسجد النبوي,1
"القبض على شخص لترويجه مادة ""الشبو"" المخدر في الشرقية",1
البحرين تشيد بجهود المملكة لإنهاء الأزمة الروسية الأوكرانية,1
جدة.. رفع تجمعات المياه ومعالجة المواقع المتأثرة بالأمطار,2
في يومها العالمي.. ما هي السعادة من وجهة نظر الطلاب الجامعيين؟,2
التعليم تطلق خدمة التسجيل الإلكتروني للصف الأول الابتدائي ورياض الأطفال,0
المدينة المنورة.. تمديد مواعيد الحافلات خلال العشر الأواخر,0
السديس: خطة تشغيلية إثرائية غير مسبوقة في العشر الأواخر,0
جهود أمنية مكثفة لتنظيم الحركة في الأسواق الرمضانية وميادين عسير,1
تدشين أول تطبيق لتوثيق ملكية العقارات البلدية رقميًا في الشرقية,2
حافلات المدينة.. تمديد خدمات النقل الترددي والعام لبعد التهجد,1
"صور| ""اليوم"" ترصد استمتاع الأهالي في حديقة الأمير ماجد بأول أيام الإجازة المدرسية",1
ارتفاع بـ 31%.. تفاصيل إحصاءات العمرة للربع الرابع من 2024,1
الصين تدعو لحماية طلابها في أمريكا بعد إجراء من الكونجرس,1
توفير للمياه.. ”استدامة“ يطور زراعة الأعلاف الموسمية في 5 مناطق,0
أعلى كمية في جدة.. رصد هطول أمطار في «9» مناطق بالمملكة,2
زلازل الجزائر.. هزة أرضية بقوة 4 درجات تضرب محافظة المدية,1
"""الأرصاد"" يكشف لـ ""اليوم"" عن توقعات طقس السعودية حتى الأحد المقبل",2
"""الأرصاد"" ينوه بتأثر معظم مناطق المملكة بحالة مطرية متفاوتة الغزارة",0
جدة الآن.. أمطار غزيرة ورياح شديدة السرعة على أنحاء المحافظة,0
"القصيم .. تدشين حملة ""قلبك حياتك"" لتوعية العمالة الوافدة بأمراض القلب",1
"""الأرصاد"": يحذر من أمطار متوسطة ورياح شديدة على منطقة جازان",0
"""البيئة"".. شرطان لمزادات الخيل العربية الأصيلة الحضورية و4 ضوابط للإلكترونية",2
صور.. بدء تطوير وسفلتة حي الجمعية في سيهات بمساحة 19 ألف م2,1
"فقط 55%.. ""حماية المستهلك"" تحدد نسبة التزام المنشآت بالأنظمة",1
5 شروط إصدار التراخيص لمرابط الخيل العربية الأصيلة,2
الدمام.. ضبط 931 مخالفة بلدية وصحية خلال الجولات الرقابية في رمضان,0
اليوم.. “شؤون الحرمين” تعلن إيقاف الحجوزات اليدوية لعربات الجولف,1
"صور.. تكريم الفائزين في ختام مسابقتي ""رتل "" و""بلال"" بالأحساء",2
الأمير تركي بن محمد بن فهد يرأس اجتماع مجلس أمناء مؤسسة الأمير محمد بن فهد للتنمية الإنسانية,2
"""صم بصحة"".. حملة توعوية في النعيرية للمشي والفحوصات والنوم",1
"الإنذار الأحمر.. ""الأرصاد"" ينبه من الحالة المطرة الغزيرة في مكة",1
في يومها العالمي.. المملكة تتقدم عربيًا وعالميًا في مؤشر السعادة,1
"بالصور.. شركة ""اليوم"" القابضة تقيم حفل إفطار جماعي لمنسوبيها",2
"""الوطني للأرصاد"": يحذر من رياح شديدة على منطقة حائل",0
مكة المكرمة.. اعتماد 167 مسجداً إضافياً لإقامة صلاتي الجمعة والعيد,1
"الرئيس التنفيذي لـ ""جودة الحياة"": نعمل على جعل مكة نموذجًا عالميًا",1
طقس المملكة.. أمطار متباينة الشدة وزخات من البرد على الباحة,1
التهجد بالحرم المكي تبدأ 12:30 منتصف الليل.. وختم القرآن ليلة 29,2
"دخول 6 تخصصات جديدة بجامعة القصيم في تصنيف ""QS"" الدولي",1
بعد اجتماع المملكة.. القمة الأوروبية ترحب بجهود السلام في أوكرانيا,0
المدينة المنورة.. بدء استقبال جموع المعتكفين في المسجد النبوي,1
البحرين تشيد بجهود المملكة لإنهاء الأزمة الروسية الأوكرانية,1
جدة.. رفع تجمعات المياه ومعالجة المواقع المتأثرة بالأمطار,0
في يومها العالمي.. ما هي السعادة من وجهة نظر الطلاب الجامعيين؟,1
التعليم تطلق خدمة التسجيل الإلكتروني للصف الأول الابتدائي ورياض الأطفال,0
المدينة المنورة.. تمديد مواعيد الحافلات خلال العشر الأواخر,1
السديس: خطة تشغيلية إثرائية غير مسبوقة في العشر الأواخر,1
جهود أمنية مكثفة لتنظيم الحركة في الأسواق الرمضانية وميادين عسير,1
حافلات المدينة.. تمديد خدمات النقل الترددي والعام لبعد التهجد,2
"صور| ""اليوم"" ترصد استمتاع الأهالي في حديقة الأمير ماجد بأول أيام الإجازة المدرسية",2
ارتفاع بـ 31%.. تفاصيل إحصاءات العمرة للربع الرابع من 2024,0
توفير للمياه.. ”استدامة“ يطور زراعة الأعلاف الموسمية في 5 مناطق,2
أعلى كمية في جدة.. رصد هطول أمطار في «9» مناطق بالمملكة,0
"""الأرصاد"" يكشف لـ ""اليوم"" عن توقعات طقس السعودية حتى الأحد المقبل",1
"""الأرصاد"" ينوه بتأثر معظم مناطق المملكة بحالة مطرية متفاوتة الغزارة",0
جدة الآن.. أمطار غزيرة ورياح شديدة السرعة على أنحاء المحافظة,1
"القصيم .. تدشين حملة ""قلبك حياتك"" لتوعية العمالة الوافدة بأمراض القلب",1
"""الأرصاد"": يحذر من أمطار متوسطة ورياح شديدة على منطقة جازان",0
"""البيئة"".. شرطان لمزادات الخيل العربية الأصيلة الحضورية و4 ضوابط للإلكترونية",1
"فقط 55%.. ""حماية المستهلك"" تحدد نسبة التزام المنشآت بالأنظمة",1
5 شروط إصدار التراخيص لمرابط الخيل العربية الأصيلة,1
اليوم.. “شؤون الحرمين” تعلن إيقاف الحجوزات اليدوية لعربات الجولف,2
"الإنذار الأحمر.. ""الأرصاد"" ينبه من الحالة المطرة الغزيرة في مكة",1
في يومها العالمي.. المملكة تتقدم عربيًا وعالميًا في مؤشر السعادة,0
"""الوطني للأرصاد"": يحذر من رياح شديدة على منطقة حائل",0
طقس مكة المكرمة.. هطول أمطار خفيفة إلى متوسطة على أنحاء متفرقة,2
"""الأرصاد"": أمطار متوسطة على منطقتي نجران وجدة",2
"""الأرصاد"" ينبه من أمطار متوسطة ورياح على الباحة وعسير",1
مكة.. الهلال الأحمر يرفع جاهزيته تزامنًا مع الحالة المطرية الغزيرة,2
أمطار على الطائف.. والدفاع المدني يدعو للحذر من الأجواء,2
الدمام 32 مئوية.. بيان درجات الحرارة العظمى على بعض مدن المملكة,1
حالة الطقس.. أمطار رعدية متوسطة إلى غزيرة على أجزاء من 9 مناطق,1
الرشيد: مكة المكرمة تتصدر المدن الأكثر زيارة في المنطقة العربية,2
خلال العشر الأواخر.. رفع الجاهزية التشغيلية لخدمات المسجد الحرام,2
إنذار أحمر.. أمطار غزيرة على مكة المكرمة والمدينة المنورة,0
الأماكن والمواعيد.. أمطار خفيفة إلى متوسطة على أجزاء من الرياض,1
ولي العهد يستقبل أمراء المناطق بمناسبة اجتماعهم السنوي الثاني والثلاثين,0
المملكة وباكستان.. شراكة استراتيجية تمتد لأكثر من 70 عامًا,0
ولي العهد والرئيس الفرنسي يبحثان هاتفيًا جهود وقف العدوان على غزة,0
في اتصال بولي العهد.. ستارمر يشيد بدور المملكة في استضافة الحوار الأمريكي الروسي,1
اللجنة الوزارية تدين غارات الاحتلال واستهداف المدنيين في قطاع غزة,1
ولي العهد يبحث الأوضاع الإقليمية والدولية مع رئيس وزراء باكستان,2
بسبب الطقس.. جامعة جدة تعلق الدراسة الحضورية اليوم الخميس,1
تعليق الدراسة الحضورية في جامعة الملك عبدالعزيز اليوم الخميس,2
"القبض على شخص لترويجه مادة ""الشبو"" المخدر في الشرقية",2
تدشين أول تطبيق لتوثيق ملكية العقارات البلدية رقميًا في الشرقية,2
صور.. بدء تطوير وسفلتة حي الجمعية في سيهات بمساحة 19 ألف م2,2
الدمام.. ضبط 931 مخالفة بلدية وصحية خلال الجولات الرقابية في رمضان,2
"صور.. تكريم الفائزين في ختام مسابقتي ""رتل "" و""بلال"" بالأحساء",0
"""صم بصحة"".. حملة توعوية في النعيرية للمشي والفحوصات والنوم",2
"بالصور.. شركة ""اليوم"" القابضة تقيم حفل إفطار جماعي لمنسوبيها",2
فيديو| الشرقية.. 800 مصاب بالتصلب المتعدد وتسهيلات جديدة للمرضى,2
حتى 10 صباحًا.. أمطار متوسطة على أجزاء من المنطقة الشرقية,2
الشرقية.. القبض على شخص لترويجه مادة الإمفيتامين المخدر,1
”تطريز البشت“.. 30 سيدة في الأحساء يتعلمن أسرار الحرفة التراثية,2
"بمشاركة 30 أسرة.. أمانة الأحساء تختتم مبادرة ""بسطة خير السعودية""",2
"%18 نسبة العقم بالشرقية.. ""إنجاب"" تطلق مبادرة دعم المتأخرين عن الإنجاب",0
”البخنق“ يعيد إحياء التراث ويعزز الهوية الوطنية لدى أطفال القطيف,0
جمعية الصم وضعاف السمع تفتتح فرعها الجديد في القطيف,2
مركز الدكتور سليمان الحبيب الطبي بالعزيزية في الخبر يبدأ في استقبال المراجعين,2
الأماكن والمواعيد.. أمطار خفيفة على أجزاء من المنطقة الشرقية,1
"الشرقية.. ضبط شخص لترويجه مادتي الحشيش و""الشبو"" المخدرتين",0
محافظ الأحساء يفتتح جامع الإمام علي بن أبي طالب في المبرز,2
إطلاق مبادرات خضراء وتكنولوجية لتعزيز الاستدامة البيئية في الشرقية,1
"صور| كيف يساهم مجلس ""ابصر"" في تطوير المشهد الثقافي بالمنطقة الشرقية؟",0
"فيديو| 8 آلاف زائر يتجولون يوميًا بين أركان فعالية ""البخنق"" بالقطيف",0
بالبهجة والأجواء الرمضانية.. 468 قطعة زينة تضيء سماء الشرقية,1
نائب أمير المنطقة الشرقية يستقبل الأطفال الأيتام بمناسبة يوم اليتيم العربي,2
16 ألف صائم يوميًا على موائد ”تعاوني حفر الباطن“ الرمضانية,2
"كرم الفائزين.. محافظ الأحساء يرعى الحفل الختامي لأنشطة جمعية ""قبس""",1
لدعمهم ورعايتهم.. محافظ الأحساء يشارك أبناءه الأيتام مأدبة الإفطار,0
طقس الصباح الباكر.. ضباب خفيف على الشرقية ومكة المكرمة وعسير,2
الزامل يستقبل المهنئين بالشهر الفضيل,1
شاهد | بطول 200 متر.. إفطار جماعي في «حارة الكوكب» بالعيون,2
"""بسطة خير"" توفر بيئة عمل منظمة لـ 60 بائعًا متجولًا في حفر الباطن",0
صور| مباراة في الطبخات التراثية.. 10 أسر تتنافس بمهرجان ”مبزر الربيان“,2
طقس الشرقية.. هطول أمطار متوسطة على مدينة الدمام,2
الظهران.. 30 بلاغًا حول مخالفات غذائية في رمضان,2
"برعاية محافظ الأحساء.. تكريم 78 طالبًا فائزًا بجائزة ""منافس""",2
بالإنذار الأحمر.. الأرصاد ينبه من أمطار غزيرة على المنطقة الشرقية,2
طقس الصباح الباكر.. أمطار خفيفة إلى متوسطة على أجزاء من الشرقية,0
رجل الأعمال د. عبدالله السيهاتي يستقبل المهنئين بشهر رمضان في مجلسه بسيهات,0
"300 ألف زائر يختتمون فعاليات مهرجان ""أيام سوق الحب""",2
"""قرقيعان الرامس"".. المسحراتي يعود بذاكرة الكبار إلى الزمن الجميل",0
”بسطة خير“.. مبادرة لدعم 80 بائعًا جائلًا في الشرقية,1
"بـ 12 منطقة تفاعلية.. مهرجان ""ليالي كفو الرمضانية"" يجذب الزوار",1
الألعاب الشعبية.. تراث متجدد يجمع الأجيال المختلفة في الشرقية,1
"أمير الشرقية يضع حجر الأساس للمقر الجديد لأكاديمية ""زادك"" لفنون الطهي",2
أمير الشرقية يدشن حملة “جسر الأمل” التي أطلقتها لجنة “تراحم”,2
خطة لتقييم وتحسين الأداء المؤسسي للبلديات في الشرقية,1
أمير الشرقية يستقبل رئيس محكمة الأحوال الشخصية بالدمام بمناسبة تعيينه,2
"10 ألاف زائر لفعاليات ""رمضان يجمعنا"" في محافظة النعيرية",2
"صور| عروض ترفيهية ومشاركة واسعة في ""قرقيعان أجيال"" بالظهران",1
بالإنذار الأصفر.. الأرصاد يصدر تنبيهًا بشأن طقس الشرقية,1
أمين الأمم المتحدة: إقامة دولة فلسطينية السبيل الوحيد للسلام,1
خططوا لنقل متفجرات.. اعتقال 3 إرهابيين في الصومال,2
مسؤولة أوروبية تدعو لدعم الجيش الأوكراني بـ 5 مليارات يورو,2
منظمة الصحة العالمية تدعو لتمويل الاستجابة لمكافحة السل,2
الصين تدعو لحماية طلابها في أمريكا بعد إجراء من الكونجرس,2
بقوة 5.5 درجة.. زلزال يضرب جزر ساندويتش بالمحيط الأطلسي,2
التخطيط لإنشاء قوة حفظ سلام في أوكرانيا يدخل المرحلة العملياتية,1
الدفاعات الجوية الروسية تسقط 132 طائرة مسيّرة أوكرانية,0
حرب متواصلة.. روسيا تطلق 171 مسيّرة باتّجاه أوكرانيا,1
زيلينسكي ينفي أن يكون ترامب طلب ملكية محطات الطاقة في أوكرانيا,1
هاواي.. بركان كيلاويا يستأنف ثورانه بعد توقف دام أسبوعًا,2
"بريطانيا تطالب بإجراء ""تحقيق شفاف"" في قصف مبنى للأمم المتحدة بغزة",2
ترامب يقترح استحواذ أمريكا على محطات الطاقة الأوكرانية,1
أثناء رحلة تدريبية.. تحطم مروحية ومقتل طاقمها شمال روسيا,0
"""اليوم"" تنشر تعليقات الصحف الغربية على وثائق اغتيال كينيدي",0
روسيا: نقترب من استعادة السيطرة الكاملة على منطقة كورسك,1
ارتفاع الإصابة بالحمى القلاعية في كوريا الجنوبية إلى 10 في 2025,2
"تفاصيل معاناة 280 يومًا.. عودة الرائدين العالقين من ""المحنة الفضائية""",0
"زلزال بقوة 4.7 درجات يضرب محافظة ""إيشيكاوا"" اليابانية",2
40 مفقودًا بغرق مركب في المتوسط والعثور على ست جثث,0
مقتل 12 جراء تحطم طائرة تجارية قبالة سواحل هندوراس,2
مفاجأة.. القراءة الأولية لوثائق اغتيال كينيدي لا تضع حدًا لتكهنات الجريمة,0
إخلاء 350 منزلًا.. الفيضانات توقف الحياة في جنوب إسبانيا,0
بعد 9 أشهر.. عودة رائدي الفضاء العالقين بالمحطة الدولية إلى الأرض,2
6 ملايين صفحة.. إتاحة وثائق اغتيال الرئيس جون كينيدي للجمهور,1
بيرو تعلن حالة الطوارئ وتنشر الجيش بالعاصمة.. ماذا يحدث؟,1
بعد مكالمة ترامب وبوتين.. زيلينسكي يؤيد الهدنة مع روسيا,1
"""تطهير عرقي"".. مقررة أممية تدعو لحماية الفلسطينيين من الفناء",0
حرب أوكرانيا.. ترامب وبوتين يتفقان على هدنة 30 يوما بمنشآت الطاقة,1
"""نشعر بالصدمة"".. مطالبة أوروبية باحترام وقف إطلاق النار في غزة",1
استمر أكثر من ساعة.. تفاصيل الاتصال الهاتفي بين ترامب وبوتين,1
مقتل 3 أشخاص في تحطم طائرة صغيرة فوق جبال الألب السويسرية,2
بيرو تعلن حالة الطوارئ وتنشر الجيش مع تصاعد أعمال العنف في العاصمة,0
بعد 60 عامًا.. الكشف عن ملفات اغتيال جون كينيدي اليوم,1
مفتي ألبانيا: أعظم المبادرات في رمضان هدية خادم الحرمين الشريفين,2
بدون خسائربشرية.. زلزال بقوة 4.6 درجات يضرب جنوب تشيلي,0
بعد تسعة أشهر .. رائدان عالقان في محطة الفضاء يغادران إلى الأرض,0
أمريكا تسجل أدنى مستوى للمواليد خلال 2023 منذ 4 عقود,1
دون وقوع خسائر.. زلزال بقوة 5.1 درجة يضرب جنوبي الأرجنتين,1
إندونيسيا.. زلزال بقوة 5.5 درجة يضرب مقاطعة سومطرة الشمالية,2
الكرملين: خطوة مهمة للغاية منتظرة لإحياء العلاقات مع أمريكا,1
إدارة ترامب تشدد على مغادرة سفير جنوب إفريقيا.. في هذا الموعد,0
الكرملين يؤكد: محادثة هاتفية مرتقبة بين بوتين وترامب غدا بشأن أوكرانيا,2
صور| عواصف وأعاصير عنيفة تضرب الولايات المتحدة.. وسقوط 40 قتيلاً,0
اندلاع حريق في محطة طاقة روسية على نهر الفولجا إثر هجوم أوكراني,2
زلزال بقوة 5.1 درجة يضرب مقاطعة غورونتالو الإندونيسية,0
صور| تسرب نفطي بأحد الأنهار في الإكوادور.. وإعلان الطوارئ البيئية,2
وصول طاقم جديد إلى محطة الفضاء الدولية تمهيدا لعودة رائدي فضاء عالقين,1
لوقف لإطلاق النار.. ترامب وبوتين يعتزمان إجراء محادثة هذا الأسبوع,2
مجلس الأمن الروسي يهدد بالحرب مع حلف الناتو.. ماذا حدث؟,2
حضرموت.. البرنامج السعودي لإعمار اليمن يعيد تأهيل منفذ الوديعة,1
معلمون وأطباء وممرضون.. ارتفاع الضحايا الأمميين في غزة إلى 284,1
زلازل الجزائر.. هزة أرضية بقوة 4 درجات تضرب محافظة المدية,1
مصر.. إغلاق ميناء العريش البحري بسبب تقلبات الأحوال الجوية,1
الاحتلال الإسرائيلي يعيد فصل شمال قطاع غزة عن الجنوب,0
